"Project Title","Principal Investigator","Co-Principal Investigators","Related to Project"
"Virus-vector interactions mediating the whitefly transmission of foregut-borne viruses","James Ng","Thomas Smith"
"Workshop: Challenges in modeling the spatial and temporal dimensions of the ecology of infectious diseases; September 19-22, 2012; Columbus, OH","Ningchuan Xiao","Rebecca Garabed, Song Liang, Mark Moritz"
"U.S.-Mexico Workshop: Collaborative Long-term Research Across North American Biomes, May 1996","Terry Yates","Jennifer Frey"
"Investigation of Geospatial Data Management on MapReduce Platform","Naphtali Rishe","Raju Rangaswami, Evangelos Christidis"
"Community-Enabled Data Discovery, Access, Publishing, and Enhancement: Enabling an Information Commons","Ruth Duerr","David Gallaher, Mark Parsons"
"EAGER: Field: A New Tool for Creative, Interdisciplinary Visualization of Data","Johannes Goebel","Peter Fox"
"BE/CBC: Biocomplexity Associated with the Response of Tundra Carbon Balance to Warming and Drying Across Multiple Spatial and Temporal Scales","Walter Oechel","Craig Tweedie, John Kimball"
"III: EAGER - Expressive Scalable Querying over Integrated Linked Open Data","Amit Sheth","Pascal Hitzler"
"Collaborative Research: Systematic Analysis of Dynamic Earthquake Triggering Using the USArray Data","Aaron Velasco","NoneHector Gonzalez-Huizar"
"Web-Based Catalog and Mapping Application of Mexican Land Plant Collections at the University of Michigan Herbarium","Inigo Granzow-de","Christiane Anderson, James Beach, William Anderson, Anton Reznicek"
"Mathematical Sciences: Reaction-Diffusion Models for Mathematical Ecology","George Cosner","Robert Cantrell"
"SGER: An Experimental Z39.50 Information Retrieval Protocol Test Bed for Biological Collection and Taxonomic Data","David Vieglais","John Schnase, James Beach, Stanley Blum, Leonard Krishtalka, Janet Gomon, Allen Allison"
"WORKSHOP:Database and Information Systems Research for Semantic Web and Enterprises","Amit Sheth","None"
"The Fourth Conference on Computational and Mathematical Population Dynamics","Shigui Ruan","None"
"NSF NSF Geo-Data Informatics: Exploring the Life Cycle, Citation and Integration of Geo-Data","Peter Fox","None"
"MRI: Acquisition of a Balanced Environment for Simulation","Christopher Carothers","Mark Shephard, Peter Fox, James Myers, Lucy Zhang"
"IPY: The International Polar Year Data and Information Service","Mark Parsons","Mark McCaffrey, Ruth Duerr, Siri Jodha, Roger Barry"
"Eco-epidemiology of Leptospirosis in Latin America: Understanding the Dynamics of Transmission Within a Community","Claudia Munoz-Zanzi","Gerardo Acosta"
"POWRE: Applying Database Techniques to Management of Large Data Flows in Scientific Applications","Beth Plale","None"
"How Blissful is Ignorance? The Role of Obliviousness in Network Optimization","Rajmohan Rajaraman","Ravi Sundaram"
"Formulated and Specify: Using Visual Programming to Enable Web-based Biodiversity Analysis","Jennifer Leopold","NoneJames Beach, Allen Ambler"
"Collaborative Research, IPY: A Cooperative Arctic Data and Information Service (CADIS)","James Moore","Mohan Ramamurthy, Mark Parsons, Don Middleton"
"Workshop on Research Challenges and Opportunities in Knowledge Representation and Reasoning","Natasha Noy","None"
"CREST: Center of Emerging Technologies for Advanced Information Processing and High-Confidence Systems","Yi Deng","Armando Barreto, Xudong He, Naphtali Rishe, Malek Adjouadi"
"Collaborative Research: CUAHSI/CLEANER Demonstration and Development of a Test-bed Digital Observatory for the Susquehanna River Basin and Chesapeake Bay","Michael Piasecki","None"
"Geoinformatics: Development of Community-Based Ontology and Standards for Hydrologic Data Discovery and Exchange","Richard Hooper","Michael Piasecki, David Valentine, Ilya Zaslavsky"
"Development of a Strategy and Architecture for an IPY Data and Information Service: A Planning Proposal","Roger Barry","Mark Parsons"
"Ecological dynamics of vertically transmitted symbionts in hosts with complex life histories","Thomas Miller","Jennifer Rudgers"
"MII: Infrastructure for Research and Training on High -Performance Heterogeneous Distributed Database Management","Naphtali Rishe","Shu-Ching Chen, David Barton, Maxim Chekmasov, Frank Urban, Chungmin Chen, Wei Sun"
"Microstructural analyses of gouge from the San Andreas Fault Observatory at Depth (SAFOD) borehole in relation to brittle fault mechanics: A collaborative study","Jafar Hadizadeh","Giulio DiToro, Hassan Babaie, Karen Mair"
